2024-04-13 00:01:52.218 | INFO     | __main__:main:101 - Starting directory analysis
2024-04-13 00:01:52.218 | INFO     | __main__:main:104 - C:\Users\momoore\OneDrive - Mazak Corporation\Documents exists, proceeding with directory analysis
2024-04-13 00:01:52.242 | DEBUG    | __main__:get_directories:24 - Getting directories in: C:\Users\momoore\OneDrive - Mazak Corporation\Documents took 0.02 seconds
2024-04-13 00:01:52.242 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass
2024-04-13 00:01:52.242 | DEBUG    | __main__:count_subdirectories:73 - Counted 0 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass took 0.00 seconds
2024-04-13 00:01:52.250 | DEBUG    | __main__:count_files:40 - Counted 1 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass took 0.00 seconds
2024-04-13 00:01:52.250 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass is 1, took 0.00 seconds
2024-04-13 00:01:52.250 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip
2024-04-13 00:01:52.250 | DEBUG    | __main__:count_subdirectories:73 - Counted 1 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip took 0.00 seconds
2024-04-13 00:01:52.250 | DEBUG    | __main__:count_files:40 - Counted 0 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip took 0.00 seconds
2024-04-13 00:01:52.258 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation\MachSim\MPPOSTABILITY_MAZAK_VC_EZ26_4+1 is 2, took 0.00 seconds
2024-04-13 00:01:52.258 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation\MachSim is 2, took 0.00 seconds
2024-04-13 00:01:52.258 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation is 2, took 0.00 seconds
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\mill\Posts is 3, took 0.00 seconds
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\mill is 3, took 0.00 seconds
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam is 5, took 0.01 seconds
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip is 5, took 0.01 seconds
2024-04-13 00:01:52.266 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_subdirectories:73 - Counted 3 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova took 0.00 seconds
2024-04-13 00:01:52.266 | DEBUG    | __main__:count_files:40 - Counted 0 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova took 0.00 seconds
